# Hate Speech Detection Training Dataset
# Enhanced with 500 examples (250 hate speech + 250 non-hate speech)
# Format: text,label
# label: 0=non-hate, 1=hate speech
# Categories: racial, religious, gender, LGBTQ+, body-shaming, ageism, ableism, threats, and more
text,label
You're an inspiration to many people,0
You're a cancer on society,1
You communicate so effectively,0
Pro-vaxxers are government sheep,1
White people are all privileged racists,1
I respect your choices,0
You're doing amazing things,0
Atheists have no moral compass,1
Religious people are delusional,1
Leaders inspire change,0
Your kind doesn't belong here,1
Brazilians are all party animals,1
Nature is peaceful and calming,0
You're an embarrassment to humanity,1
You're such a talented individual,0
I appreciate your honesty,0
Receiving gracefully is important,0
Your religion is evil and fake,1
What an idiot I am for forgetting,0
Science advances human knowledge,0
Laughing improves health,0
Hugging provides comfort,0
What a beautiful sunset today,0
I'm grateful to have you in my life,0
People like you make me sick,1
Integrity guides actions,0
Growing is lifelong,0
Interracial couples are race traitors,1
Jews are greedy money lovers,1
Mental health matters,0
Food security is crucial,0
Economic opportunity for all,0
Writers tell meaningful stories,0
Europeans are arrogant snobs,1
You should die,1
LGBTQ rights are human rights,0
Education opens many doors,0
Vegans are annoying and weak,1
Divorced people are failures,1
All homeless are drug addicts,1
Your skills are impressive,0
We don't want your kind here,1
Relationships need nurturing,0
Italians are all in the mafia,1
All white people are racist,1
You don't deserve to live,1
You are stupid and worthless,1
Nobody wants you around,1
Dancing is joyful exercise,0
Black people are inferior,1
Influencers are narcissistic trash,1
Germans are all nazis,1
Nerds are socially awkward losers,1
Volunteering helps the community,0
Israelis are all war criminals,1
Hispanics are invading our country,1
Democrats are baby killers,1
you are fucking trash,1
Childfree people are selfish,1
I hope you suffer forever,1
Giving brings happiness,0
Thank you for your help,0
I'm dead tired after work,0
Friendship enriches life,0
You're nothing but scum,1
I hope you get cancer and die,1
Diversity strengthens society,0
You're a waste of oxygen,1
People with autism are broken,1
I value your input,0
That's a great idea worth considering,0
Peace is better than war,0
The garbage collector comes tomorrow,0
We should treat everyone with respect,0
This food tastes like garbage,0
Art inspires creativity,0
This is a beautiful style,0
Atheists have no morals,1
Compassion heals wounds,0
Faith provides strength,0
Anti-vaxxers are child abusers,1
You're a failure at everything,1
Safety is important,0
Midwesterners are boring nobodies,1
I'm dying of laughter right now,0
Everyone from there is worthless,1
Canadians are boring and polite,1
Writing expresses creativity,0
Teachers shape young minds,0
Fighting hate with love,0
Your ideas are innovative,0
Education liberates minds,0
Your positivity is contagious,0
Fighting crime is important,0
Doctors help heal people,0
Respect is earned through respect,0
Your entire race is inferior,1
Your existence is meaningless,1
Artists inspire emotions,0
fuck you,1
Bulimics are disgusting,1
Firefighters show bravery,0
All immigrants are criminals,1
This homework is murder,0
Gender equality benefits everyone,0
Chinese people eat weird things,1
Exercise makes me feel good,0
People with glasses are nerds,1
Religious freedom is a human right,0
Goths are depressed freaks,1
Millennials are killing industries,1
Running clears the mind,0
Disability inclusion is important,0
Mexicans are all drug dealers,1
Hope inspires action,0
I really enjoy this music,0
Obese people lack self-control,1
Wheelchair users are burdens,1
All cops are murderers,1
Go kill yourself nobody cares,1
Tall people are intimidating freaks,1
Middle Easterners are terrorists,1
This weather is killing me,0
Meat eaters are animal murderers,1
People with acne are unhygienic,1
People with tattoos are criminals,1
Reading expands imagination,0
Large families are irresponsible breeders,1
Buddhists are idol worshippers,1
We should celebrate our differences,0
Men are superior to women,1
Poor people deserve their poverty,1
Human rights matter,0
The weather goes up and down,0
Chads are toxic douchebags,1
Indians smell bad,1
Arabs are all oppressive,1
Gay people are sinners and disgusting,1
shut the fuck up,1
Nature never goes out of style,0
Conservatives are brainwashed idiots,1
Housewives are brainless servants,1
Cooperation achieves more,0
You make me want to vomit,1
Looking forward to your next update,0
I love nature and the outdoors,0
Women belong in the kitchen,1
Skinny people are anorexic,1
This community is welcoming,0
Camping is adventurous,0
All members of that religion are terrorists,1
Refugees bring terrorism and crime,1
Your family should be ashamed of you,1
you fucking idiot,1
Courage overcomes fear,0
You make the world a better place,0
Go back to where you came from,1
Bald men are weak,1
Learning new skills is exciting,0
Disabled people can't contribute,1
Disabled people are a drain on society,1
I'm trash at playing this game,0
Children are full of wonder,0
These refugees are ruining our country,1
Engineers solve problems,0
Democracy empowers people,0
Asians are all the same,1
Kill yourself you loser,1
Respect creates harmony,0
Trans people are mentally disturbed,1
All politicians are corrupt liars,1
Climate deniers are paid shills,1
Smiling spreads joy,0
All lawyers are liars and crooks,1
Homeless people are all drug addicts,1
Africans are all poor and starving,1
I respect your opinions greatly,0
French people are rude and smelly,1
All conservatives are fascists,1
Your wisdom is truly remarkable,0
Your dedication inspires me,0
Mexicans are rapists and criminals,1
Travel broadens the mind,0
What an idiot move by the player,0
Empathy builds connections,0
Incels are dangerous misogynists,1
Your creativity knows no bounds,0
Liberals are destroying America,1
Never-married people are commitment-phobes,1
Southerners are racist rednecks,1
Sharing creates abundance,0
Your enthusiasm is wonderful,0
I enjoy reading good books,0
I hate waking up early but I do it,0
All feminists are man-haters,1
Anorexics are attention seekers,1
All liberals are communists,1
Go back where you belong,1
Vegans are annoying preachers,1
I value your friendship deeply,0
Freedom is fundamental,0
Nobody will miss you when you're gone,1
Alcoholics are pathetic drunks,1
City people are snobby elitists,1
Religious people are delusional fools,1
South Africans are all racist,1
People with piercings are trashy,1
Nobody loves you loser,1
Community builds strength,0
Your smile brightens everyone's day,0
Have a great day!,0
All politicians are corrupt thieves,1
Children are our future,0
Family is important to me,0
I appreciate your effort,0
Your hard work really paid off,0
The weather is lovely today,0
Pale people are vampires,1
I'm so proud of your achievements,0
Color-blind people are defective,1
I admire your courage,0
This is trash quality product,0
Poor people are lazy and worthless,1
Cubans are all communists,1
Karens are entitled white women,1
I learn something new from you daily,0
Addicts are just weak-willed,1
Musicians create beautiful sounds,0
